Name,Email,Web URL,,
GMV Polska,hydrolifttech@gmail.com,https://www.gmv.pl,,
FKL Polska,fkl.pars@gmail.com,http://www.fkl-polska.pl,,
Baseball Outlet,baseballoutlet.pl@gmail.com,https://www.baseballoutlet.pl,,
Enerpol,enerpol.supply@gmail.com,https://enerpol.com.pl,,
WSB University,kacpermozdzyn@gmail.com,https://managementpapers.polsl.pl,,
Forczek Trans,forczektrans@gmail.com,https://www.forczektrans.pl,,
Rowery WZP,kolegiatastargard@gmail.com,https://rowery.wzp.pl,,
Maka Studio,makastudio@gmail.com,https://makastudio.com.pl,,
Betech (AGH),betech.pt@gmail.com,https://journals.bg.agh.edu.pl,,
Pro-Cut,procutpl@gmail.com,https://pro-cut.pl,,
HL Family,hlfamily.pl@gmail.com*,https://www.hlfamily.pl,,
PM Quality,jacekostapinski@gmail.com,https://pmquality.pl,,
Miracle Art,shophair@gmail.com,https://miracleart.pl,,
Holland Tank Service,etyka.hts@gmail.com,https://h-t-s.pl,,
Fundacja Św. Mikołaja,anastasiiakostiuk@gmail.com,https://mikolaj.org.pl,,
Lubart Keg Market,lubartkegmarket@gmail.com,https://lubartkegmarket.pl,,
Bitul,bitul.pl@gmail.com,https://bitul.pl,,
VSB Store,vsb.store.pl@gmail.com,https://vsb-store.pl,,
Montomet,montomet2010@gmail.com,http://montomet.com.pl,,
E.D.I.L,sylwester.grzyb@gmail.com,https://www.edil-konstrukcje.pl,,
BIBP Ukraine,bibpua@gmail.com,https://bibp.pl,,
FS Global,fsglobalferhat@gmail.com,https://fsglobal.pl,,
Dominik Marcak,dominik.marcak@gmail.com,https://www.dmarcak.pl,,
Hexagon,hexagon.poland@gmail.com,http://www.hexagon.pl,,
Wega Logistics,lizahka.94@gmail.com,https://wegalogistics.pl,,
Lockerbox,mariotransport24h@gmail.com,https://lockerbox.pl,,
Adam Prucnal,adamprucnal@gmail.com,https://adamprucnal.pl,,
Centraltex,damian.blank@gmail.com,https://transport.centraltex.pl,,
KRB - Montaże,biuro.krb@gmail.com,https://krbmontaze.pl,,
WhiteOak – Training,whiteoakclimbing@gmail.com,https://whiteoak.com.pl,,
AW-TRANS Biała Podlaska,agnieszka.awtrans@gmail.com,https://aw-trans.pl,,
Firma Tomasz Galiński,siatkifiltracyjne@gmail.com,https://siatkifiltracyjne.pl,,
Instytut „Spatium”,zaferklcc@gmail.com,http://inw-spatium.pl,,
Zakłady Komunalne Rabka-Zdrój,zkkasa@gmail.com,https://zk.rabka.pl,,
STK 47 – Warehouse,stkwarehouse47@gmail.com,https://karnet.krakowculture.pl,,
ICM / Cebu Tech (Lanndon Ocampo),lanndonocampo@gmail.com,https://yadda.icm.edu.pl,,
Biblioteka Nauki (G. Zhanbirov),zhanbirov@gmail.com*,https://bibliotekanauki.pl,,
Institute of Economic Research,aeshnakh@gmail.com,https://books.economic-research.pl,,
SGGW (Distribution Algorithms),qme.sggw@gmail.com*,https://qme.sggw.edu.pl,,
Polish Journal of Mgmt Studies,martin.cvoliga@gmail.com,https://pjms.zim.pcz.pl,,
RGG (T.R. Rakotoarison),rtsiorinantenaina@gmail.com,https://rgg.edu.pl,,
Safe Nanotech (Aquavendo),gniganam@gmail.com,http://safenanotech.pl,,
Systemy Logistyczne Wojsk,vilayatismayilov47@gmail.com,https://slw.wat.edu.pl,,
Uniwersytet Przyrodniczy w Poznaniu,hanna.teszbir@gmail.com,http://www1.up.poznan.pl,,
ŚCWiS (Youth Council),radamlodziezowascwis@gmail.com,https://scwis.pl,,
PAIH (Hanna Skrzypiec),skrzypiec.hanna@gmail.com,https://baza.paih.gov.pl,,
JMEE (Modular Warehouse),jmee.koszalin@gmail.com*,https://jmee.tu.koszalin.pl,,
Statistics in Transition (O. Yacenko),yacenkoolgakneu@gmail.com,https://sit.stat.gov.pl,,
Politechnika Lubelska (Łukasz Bielak),lukasz.bielak1@gmail.com,https://ph.pollub.pl,,
Silesian Univ of Technology,kacpermozdzyn@gmail.com,https://managementpapers.polsl.pl,,
Polskie Wydawnictwo Ekonomiczne,fmarecki@gmail.com,https://www.pwe.com.pl,,
Gov.pl (School Furniture),mk.sarata@gmail.com,https://www.gov.pl,,
Forczek Trans Europe,forczektrans@gmail.com,https://www.forczektrans.pl,,
Rowery WZP (Church Kolegiata),kolegiatastargard@gmail.com,https://rowery.wzp.pl,,
Czasopisma AGH (Waldemar Wójcicki),betech.pt@gmail.com,https://journals.bg.agh.edu.pl,,
Tzezar's Datagrid,tzezar.datagrid@gmail.com*,https://datagrid.tzezar.pl,,
Villa Greta,villagreta@gmail.com*,https://www.villagreta.pl,,
HLFamily,hlfamily.pl@gmail.com*,https://www.hlfamily.pl,,
RCIN (Andrzej Prinke),andrzej.prinke@gmail.com,https://rcin.org.pl,,
Repozytorium ZUT (Stah Vovk),vovkstah@gmail.com,https://oa.zut.edu.pl,,
Project Management Quality,jacekostapinski@gmail.com,https://pmquality.pl,,
Fundacja Świętego Mikołaja,anastasiiakostiuk@gmail.com,https://mikolaj.org.pl,,
Uniwersytet Jagielloński (S. Wycislak),slawomir.wycislak@gmail.com,https://ruj.uj.edu.pl,,
Bitul – narzędzia rowerowe,bitul.pl@gmail.com,https://bitul.pl,,
Toptextil,art.tapicerskie@gmail.com,https://www.toptextil.pl,,
Full-Metal,fullmetal.andrzej@gmail.com,https://www.full-metal.pl,,
ITL Waw (Agnieszka Gosk),agnieszkagosk@gmail.com,http://itl.waw.pl,,
E.D.I.L Konstrukcje stalowe,sylwester.grzyb@gmail.com,https://www.edil-konstrukcje.pl,,
UKW (Anna Kowalczyk),annakowalczyklublin@gmail.com,http://ukw.edu.pl,,
Targi Kielce (Lean Toys),lean.toys24@gmail.com,https://www.targikielce.pl,,
Gmina Stary Sącz (Olena Anatiychuk),olena.anatiychuk@gmail.com,https://starysacz.um.gov.pl,,
UNI ENG (Yong Ho Chun),yongho.chun@gmail.com,http://www.unieng.com.pl,,
Our Mythical Childhood (Ayelet Peer),ayelet.peer@gmail.com,http://omc.obta.al.uw.edu.pl,,
Biletomat (Sinthesis),biletomat.sinthesis@gmail.com*,https://biletomat.pl,,
Infona (Ilona Mańka),ilonam78@gmail.com,https://www.infona.pl,,
Euroma,dzialotrans@gmail.com,http://euroma.net.pl,,
ICM / Baztech (Lanndon Ocampo),lanndonocampo@gmail.com,https://yadda.icm.edu.pl,,
Journal of Plant Protection Research (S. Keszthelyi),ostrinia@gmail.com,https://www.plantprotection.pl,,
PB.edu.pl (Lanndon Ocampo),lanndonocampo@gmail.com,https://www.empas.pb.edu.pl,,
IT Medical Team (Sharma Sangeeta),sharmasangeeta2003@gmail.com,https://www.itmedicalteam.pl,,
Polish Journal of Management Studies,martin.cvoliga@gmail.com,https://pjms.zim.pcz.pl,,
Agro Smart Lab,fructepack@gmail.com,https://agrosmartlab.pl,,
Real-time geo-decisional system (T.R. Rakotoarison),rtsiorinantenaina@gmail.com,https://rgg.edu.pl,,
Rowery WZP (Church of the Blessed Virgin Mary),kolegiatastargard@gmail.com,https://rowery.wzp.pl,,
PPHU Asgard,pphu.asgard.sc@gmail.com,http://www.pphuasgard.pl,,
Maka Studio (Magdalena Domosławska),makastudio@gmail.com,https://makastudio.com.pl,,
Eurosupport,lodz.eurosupport@gmail.com,https://eurosupp.pl,,
Villa Greta,villagreta@gmail.com,https://www.villagreta.pl,,
Project Management Quality (Jacek Ostapiński),jacekostapinski@gmail.com,https://pmquality.pl,,
Power Electronics and Drives (A. Rao),kartikshanbhag@gmail.com,https://www.ped.pwr.edu.pl,,
MOST Wiedzy (I. Lebid),uamazurenko@gmail.com,https://mostwiedzy.pl,,
AQUAVENDO,gniganam@gmail.com,http://safenanotech.pl,,
Procut and Minova Distribution,sklep@pro-cut.pl / procutpl@gmail.com,https://pro-cut.pl,,
Alfred Wielopolski (RCIN),andrzej.prinke@gmail.com,https://rcin.org.pl,,
Hurtownia Miracle Art,shophair@gmail.com,https://miracleart.pl,,
MOST Wiedzy,uamazurenko@gmail.com,https://mostwiedzy.pl,,
Repozytorium UJ,slawomir.wycislak@gmail.com,https://ruj.uj.edu.pl,,
VPD Level,vpdlevel@gmail.com,https://vpdlevel.pl,,
Wesla Sp. z o.o.,wesla.spzoo@gmail.com,https://wesla.pl,,
"Instytut ""Spatium""",zaferklcc@gmail.com,http://inw-spatium.pl,,
ICM (Yadda),lanndonocampo@gmail.com,https://yadda.icm.edu.pl,,
Akademicka Platforma Czasopism,dominika.szymlet@gmail.com,https://apcz.umk.pl,,
Biblioteka Nauki,g.zhanbirov@gmail.com,https://bibliotekanauki.pl,,
Przegląd Elektrotechniczny,lavreniuk.petro.1239@gmail.com,https://archiwum.pe.org.pl,,
Worldgran Logistics,worldgranlogistics@gmail.com,https://worldgran.pl,,
Maka (Magdalena Domosławska),makastudio@gmail.com,https://makastudio.com.pl,,
Betech (Waldemar Wójcicki),betech.pt@gmail.com,https://journals.bg.agh.edu.pl,,
Lean Toys (Targi Kielce),lean.toys24@gmail.com,https://www.targi-kielce.pl,,
Uni Eng,yongho.chun@gmail.com,http://www.unieng.com.pl,,
Mario Transport,mariotransport24h@gmail.com,https://lockerbox.pl,,
Rebelion,biuro.rebelion@gmail.com,https://www.odpylanieprzemyslowe.pl,,
Fit ATP,trenertomaszpalej@gmail.com,https://fit-atp.pl,,
BIBP UKRAINE,bibpua@gmail.com,bibp.pl,,
FS Global,fsglobalferhat@gmail.com,fsglobal.pl,,
Dominik Marcak,dominik.marcak@gmail.com,dmarcak.pl,,
Repozytorium ZUT,vovkstah@gmail.com,oa.zut.edu.pl,,
Lean Toys (Targi Kielce),lean.toys24@gmail.com,targikielce.pl,,
Olena Anatiychuk,olena.anatiychuk@gmail.com,starysacz.um.gov.pl,,
Anna Kowalczyk,annakowalczyklublin@gmail.com,ukw.edu.pl,,
HEXAGON,hexagon.poland@gmail.com,hexagon.pl,,
Yong Ho Chun (UNI ENG),yongho.chun@gmail.com,unieng.com.pl,,
V.V. Litvin (Biblioteka Nauki),litvin.v.v.79@gmail.com,yadda.icm.edu.pl,,
Strong Logistic,skillsinndubai@gmail.com,strong-logistic.pl,,
FHU Zahir,fhuzahir@gmail.com,fhuzahir.com.pl,,
Pinoymarket.pl,pinoymarket.pl@gmail.com,pinoymarket.pl,,
Gecon Logistics,geconlogistics@gmail.com,geconlogistics.pl,,
TopVeg,topvegpl@gmail.com,topveg.pl,,
Abas Logistics,abaslogistics@gmail.com,abaslogistics.pl,,
VPD Level,vpdlevel@gmail.com,vpdlevel.pl,,
Firma Tomasz Galiński,siatkifiltracyjne@gmail.com,siatkifiltracyjne.pl,,
MNK Group,sale.mnk.group@gmail.com,mnkgroup.pl,,
KLO Store,cooperation.klo@gmail.com,klostore.pl,,
AW-TRANS,agnieszka.awtrans@gmail.com,aw-trans.pl,,
KRB - Montaże,biuro.krb@gmail.com,krbmontaze.pl,,
Hato,hato.polska@gmail.com,hato.com.pl,,
Wesla,wesla.spzoo@gmail.com,wesla.pl,,
Rozette,rozettepoland@gmail.com,rozette.pl,,
WhiteOak,whiteoakclimbing@gmail.com,whiteoak.com.pl,,
Bombkarnia,bombkarnia.shop@gmail.com,bombkarnia.pl,,
Mountain Warehouse,mountainwarehouse.kro@gmail.com,designeroutletkrakow.pl,,
Verlin Construction,kgz.verlin@gmail.com,verlin.com.pl,,
DR Home,dariuszrzepa28@gmail.com,dr-home.pl,,
Eurosupport,eurosupp@gmail.com,eurosupp.pl,,
STK 47 Warehouse,stkwarehouse47@gmail.com,karnet.krakowculture.pl,,
Zakłady Komunalne,zkkasa@gmail.com,zk.rabka.pl,,
LegalAdvise Service,maneger.las@gmail.com,legalas.pl,,
Peleton Container,ekomedsolar@gmail.com,peleton.com.pl,,
Lanndon Ocampo,lanndonocampo@gmail.com,icm.edu.pl,,
Dominika Szymlet,dominika.szymlet@gmail.com,apcz.umk.pl,,
G. Zhanbirov,zhanbirov@gmail.com,bibliotekanauki.pl,,
Zafer Kılıç (Spatium),zaferklcc@gmail.com,inw-spatium.pl,,
Ruslan N.,nruslan@gmail.com,wydawnictwo.wst.pl,,
Energy Storage 2000,energystorage2000@gmail.com,growpharma.pl,,
Martin Cvoliga,martin.cvoliga@gmail.com,pjms.zim.pcz.pl,,
Besnik Adushaj (Defro),besnikadushaj9@gmail.com,defrohome.com.pl,,
Fruit Storage Consult,fructepack@gmail.com,agrosmartlab.pl,,
JR Grawer,grawer.podkarpacie@gmail.com,grawer.rzeszow.pl,,
R. T. Rakotoarison,rtsiorinantenaina@gmail.com,rgg.edu.pl,,
Petro Lavreniuk,lavreniuk.petro.1239@gmail.com,archiwum.pe.org.pl,,
Aqua Vendo,gniganam@gmail.com,safenanotech.pl,,
Hanna Teszbir,hanna.teszbir@gmail.com,up.poznan.pl,,
JJ Projekt,jjprojekt.pawilony@gmail.com,pawilony-jjprojekt.pl,,
Borcali,borcali.office@gmail.com,borcali.com.pl,,
Worldgran Logistics,worldgranlogistics@gmail.com,worldgran.pl,,
SCWiS Youth Council,radamlodziezowascwis@gmail.com,scwis.pl,,
Hanna Skrzypiec (PAIH),skrzypiec.hanna@gmail.com,baza.paih.gov.pl,,
Hydrolift Tech (GMV),hydrolifttech@gmail.com,gmv.pl,,
Natural Fridge (Ziemianka),nfridge24@gmail.com,ziemianka.com.pl,,
Kacper Cieplik (Instytut Spatium),cieplikkacper@gmail.com,inw-spatium.pl,,
ASTRA Technology,astraosw@gmail.com,scastra.webd.pl,,
Marcin Linik WAREHOUSE,linikmarcin@gmail.com,aplikacja.ceidg.gov.pl,,
INKDIGO (Complaints),esmart.reklamacje@gmail.com,inkdigo.pl,,
Marta Wróblewska (Mountain Warehouse),wroblewskamarta.mw@gmail.com,designeroutletgdansk.pl,,
I. Groszczyk (Świat Obrabiarek),igroszczyk@gmail.com,swiatobrabiarek.pl,,
Kamila (Galifruit),kamila.galifruit@gmail.com,galifruit.pl,,
J.S.K. Angammana,jangammana98@gmail.com,bibliotekanauki.pl,,
New Future (Recruitment),M.recruitment.aplikacje@gmail.com,jober.pl,,
Mountain Warehouse (Kraków),mountainwarehouse.kro@gmail.com,designeroutletkrakow.pl,,
Nikolaiev Dmytro,dmytro@gmail.com,wydawnictwo.wst.pl,,
Panasia Polska,qix44k@gmail.com,https://panasiapolska.abstore.pl,,
W. Kalinowski - Kamieniarstwo,phukamieniarstwo@gmail.com,https://kamieniarstwo.dfirma.pl,,
B&C WAREHOUSE (Stockfashion),bonnieclydewarehouse@gmail.com,https://www.stockfashion.pl,,
WAREHOUSE LEN SP. Z O.O.,dyo.biuro@gmail.com,https://www.bizraport.pl,,
OM Productions,omproducenci@gmail.com,https://www.omproductions.pl,,
Jiasuda Marylka (via GoWork),lilianypo02@gmail.com,https://www.gowork.pl,,
FUXTEC (Trgoaktiv d.o.o.),trgoaktiv@gmail.com,https://fuxtec-poland.pl,,
Zenith,zenithpoland@gmail.com,https://zenith.com.pl,,
Mountain Warehouse Kraków,mountainwarehouse.kro@gmail.com,https://www.designeroutletkrakow.pl,,
WhiteOak,whiteoakclimbing@gmail.com,https://whiteoak.com.pl,,
Instytut Naukowo-Wydawniczy „Spatium”,zaferklcc@gmail.com,http://inw-spatium.pl,,
Peleton / Ekomedsolar,ekomedsolar@gmail.com,https://peleton.com.pl,,
Lanndon Ocampo (via ICM),lanndonocampo@gmail.com,https://yadda.icm.edu.pl,,
Dominika Szymlet (via APCZ),dominika.szymlet@gmail.com,https://apcz.umk.pl,,
Growpharma / Energy Storage,energystorage2000@gmail.com,https://growpharma.pl,,
Defro Home (Besnik Adushaj),besnikadushaj9@gmail.com,https://defrohome.com.pl,,
Martin Cvoliga (PJMS),martin.cvoliga@gmail.com,https://pjms.zim.pcz.pl,,
Fruit Storage Consult,fructepack@gmail.com,https://agrosmartlab.pl,,
R. Tsiorinantenaina (RGG),rtsiorinantenaina@gmail.com,https://rgg.edu.pl,,
Petro Lavreniuk (PE),lavreniuk.petro.1239@gmail.com,https://archiwum.pe.org.pl,,
AQUAVENDO (Safe Nanotech),gniganam@gmail.com,http://safenanotech.pl,,
Hanna Teszbir (UP Poznań),hanna.teszbir@gmail.com,http://www1.up.poznan.pl,,
ŚCWiS (Youth Board),radamlodziezowascwis@gmail.com,https://scwis.pl,,
GMV Polska (Hydrolifttech),hydrolifttech@gmail.com,https://www.gmv.pl,,
Câmeras da Serra,camerasdaserra@gmail.com,https://www.worldcam.pl,,
Kateryna Fedosova (AI in Restaurants),fedosova2008@gmail.com,https://tirr.sggw.edu.pl,,
Dauren Darkenbayev (Intelligent Data Analysis),dauren.kadyrovich@gmail.com,https://ph.pollub.pl,,
Firma Tomasz Galiński (Siatki Filtracyjne),siatkifiltracyjne@gmail.com,https://siatkifiltracyjne.pl,,
Vatsal Singhania (Transport Problems),vatsal.singhania@gmail.com,http://transportproblems.polsl.pl,,
Yana Koleshnia (Digital Tech in Logistics),koleshnia.yana@gmail.com,https://znz.pcz.pl,,
STK 47 - Warehouse,stk47warehouse@gmail.com,https://ftb.pl,,
DR Home (Warehouse Containers),dariuszrzepa28@gmail.com,https://dr-home.pl,,
Rozette Imports,rozettepoland@gmail.com,https://www.rozette.pl,,
Hato Gate Automation,hato.polska@gmail.com,https://hato.com.pl,,
INW „Spatium” (Zafer Kilic),zaferklcc@gmail.com,http://inw-spatium.pl,,
STK 47 – Warehouse (Karnet),stkwarehouse47@gmail.com,https://karnet.krakowculture.pl,,
Growpharma (Energy Storage),energystorage2000@gmail.com,https://growpharma.pl,,
SINTHESIS / STK47 Warehouse,sinthesis.records@gmail.com,https://artmundus.pl,,
PAIH (Marek Konkolewski),marek.konkolewski@gmail.com,https://baza.paih.gov.pl,,
Growpharma (Warehouse solar project),energystorage2000@gmail.com,https://growpharma.pl,,
BIBP (Bag in box),bibpua@gmail.com,https://bibp.pl,,
Meblast,meblast1960@gmail.com,https://www.meblast.pl,,
Konrad Trzop (MAPE 2025),konrad.trzop.kt@gmail.com,https://mape.polsl.pl,,
Sayabek Ziyadin (PJMS),sayabekz@gmail.com,https://pjms.zim.pcz.pl,,
PAIH (Offer 18-355),rudnickit75@gmail.com,https://baza.paih.gov.pl,,
Mokhlis Elbaraka (IAPGOS),mokhlis.id@gmail.com,https://ph.pollub.pl,,
Natalia Bezat (QME),natalia.bezat@gmail.com,https://qme.sggw.edu.pl,,
Full-Metal,fullmetal.arkadiusz@gmail.com,https://www.full-metal.pl,,
VPD Level,info@vpdlevel.pl,https://vpdlevel.pl,,
INW „Spatium”,zaferklcc@gmail.com,http://inw-spatium.pl,,
Peleton Container,ekomedsolar@gmail.com,https://peleton.com.pl,,
Lanndon Ocampo (ICM),lanndonocampo@gmail.com,https://yadda.icm.edu.pl,,
Dominika Szymlet (APCZ),dominika.szymlet@gmail.com,https://apcz.umk.pl,,
Growpharma,energystorage2000@gmail.com,https://growpharma.pl,,
R. Tsiorinantenaina,rtsiorinantenaina@gmail.com,https://rgg.edu.pl,,
Ihor Kupchuk (PE),lavreniuk.petro.1239@gmail.com,https://archiwum.pe.org.pl,,
Growpharma (Solar Storage),energystorage2000@gmail.com,https://www.growpharma.pl,,
BIBP (Worki bag in box),bibpua@gmail.com,https://bibp.pl,,
Moeketsi Jama (Biblioteka Nauki),moeketsi.jama26@gmail.com,https://yadda.icm.edu.pl,,
Natural Fridge,nfridge24@gmail.com,https://ziemianka.com.pl,,
EUROTECHTRADE,infoeurott@gmail.com,http://www.eurotechtrade.pl,,
JSK Angammana,jangammana98@gmail.com,https://bibliotekanauki.pl,,
Instytut „Spatium” (W. Osmólski),zaferklcc@gmail.com,http://inw-spatium.pl,,
SCWiS (Youth Board),radamlodziezowascwis@gmail.com,https://scwis.pl,,
Lukasz Bielak,lukasz.bielak1@gmail.com,https://ph.pollub.pl,,
Kacper Mozdzyn,kacpermozdzyn@gmail.com,https://managementpapers.polsl.pl,,
F. Marecki (PWE),fmarecki@gmail.com,https://www.pwe.com.pl,,
M.K. Sarata (Gov.pl Tender),mk.sarata@gmail.com,https://www.gov.pl,,
Kolegiata Stargard,kolegiatastargard@gmail.com,https://rowery.wzp.pl,,
maka – Magdalena Domosławska,makastudio@gmail.com,https://makastudio.com.pl,,
Andrzej Prinke (RCIN),andrzej.prinke@gmail.com,https://rcin.org.pl,,
Anastasiia Kostiuk (Mikolaj.org),anastasiiakostiuk@gmail.com,https://mikolaj.org.pl,,
Kartik Shanbhag,kartikshanbhag@gmail.com,https://www.ped.pwr.edu.pl,,
Full-Metal (Andrzej),fullmetal.andrzej@gmail.com,https://www.full-metal.pl,,
Agnieszka Gosk,agnieszkagosk@gmail.com,http://bc.itl.waw.pl,,
Maurice (Bas Kreacja),maurice.kakiconcept@gmail.com,https://baskreacja.pl,,
We Recruit,contact.us.werecruit@gmail.com,https://werocruit.pl,,
ZUT Repozytorium (Vovk Stah),vovkstah@gmail.com,https://oa.zut.edu.pl,,
Lean Toys,lean.toys24@gmail.com,https://www.targikielce.pl,,
Olena Anatiychuk,olena.anatiychuk@gmail.com,https://starysacz.um.gov.pl,,
Anna Kowalczyk,annakowalczyklublin@gmail.com,http://www.ojs.ukw.edu.pl,,
V.V. Litvin,litvin.v.v.79@gmail.com,http://yadda.icm.edu.pl,,
Ayelet Peer,ayelet.peer@gmail.com,http://omc.obta.al.uw.edu.pl,,
Yiwu Market Guide,YiwuMarketGuide@gmail.com,http://www.i15.p.lodz.pl,,
Lockerbox (Mariusz Zień),mariotransport24h@gmail.com,https://lockerbox.pl,,
Wega Logistics (Liza),lizahka.94@gmail.com,https://wegalogistics.pl,,
Ilona Mańka,ilonam78@gmail.com,https://www.infona.pl,,
Euroma (Dział Trans),dzialotrans@gmail.com,http://www.euroma.net.pl,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
