Name,Number,website,Email 1,Email 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLA Global Logistics Agencies Poland,+48 734 486 117,https://logisticsagencies.pl/,sales.pl@logisticsagencies.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magazyn HSS Distribution Sp.z o.o.,,https://hssdistribution.com/,info@hssgroup.pl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lotniczy Dworzec Towarowy Wrocław Sp. z o.o.,+48 71 358 13 18,https://ldt.com.pl/,d.ruminska@ldt.com.pl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPH SOBIMAX - Magazyn,+48 71 396 83 57,http://www.sobimax.com.pl/,sobimax@wroclaw.eta.pl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Less Mess,+48 71 757 22 03,https://www.lessmess.storage/self-storage-wroclaw/,bemowo@lessmess.pl,czekoladowa@lessmess.pl,dabrowskiego@lessmess.pl,dejvice@lessmess.cz,holesovice@lessmess.cz,jasien@lessmess.pl,kowale@lessmess.pl,krakowska@lessmess.pl,kryspinow@lessmess.pl,modlinska@lessmess.pl,modlniczka@lessmess.pl,ostrowska@lessmess.pl,pankrac@lessmess.cz,pelczynska@lessmess.pl,poleczki@lessmess.pl,rumia@lessmess.pl,siekierkowska@lessmess.pl,torunska@lessmess.pl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maxfliz Magazyn,+48 668 399 287,http://www.maxfliz.pl/,informacja@maxfliz.pl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kangu Self Storage - Wrocław Magazyny do wynajęcia,+48 722 331 331,https://www.kangu24.com/pl/magazyn-self-storage-wroclaw/,wroclaw@kangu24.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jack Magazyn,+48 698 927 160,https://jack-opakowania.pl/,biuro@jack.wroclaw.pl,zamowienia@jack.wroclaw.pl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lear Sp. z o.o.,+48 517 950 522,http://www.learlogistyka.pl/,biuro@learlogistyka.pl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Budowa Bremer - GLP Magnice WH E,,https://www.bremerbau.pl/,info@dp-wired.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deichmann Logistik Polska,,http://www.deichmann.com/,service@deichmann.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOUNTAIN WAREHOUSE | Wrocław Fashion Outlet,+48 71 780 48 70,https://www.wroclawfashionoutlet.com/sklepy/mountain-warehouse-outlet?utm_source=google-maps&utm_medium=refferal-factory&utm_campaign=mountain-warehouse-outlet,wfo.infopoint@viaoutlets.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRZMIEL mail order warehouse,+48 71 719 88 30,http://ww.facebook.com/TrzmielAkwarystyka,kontakt@trzmiel.com.pl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTA Agencja Celna - Wrocław - Magazyn,+48 693 298 777,https://dta.com.pl/wroclaw-magazyn/,magazyn@dta.com.pl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Budotom Magazyn,+48 577 361 952,https://budotom.pl/,%20zapytania@budotom.pl,zapytania@budotom.pl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sprintBOX Sp.z o. o.,+48 71 758 35 71,http://www.sprintbox.pl/,dpo-google@google.com,info@sprintBOX.de,info@sprintbox.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S8PARK (Global24),+48 608 283 302,https://www.s8park.pl/,info@s8park.pl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schowek24 Dzierżonia - Magazyny Self Storage Wrocław,+48 518 793 880,https://schowek24.pl/lokalizacje/wroclaw/wroclaw-dzierzonia-oporow/?utm_source=Local&utm_medium=Organic&utm_campaign=Google-Places,biuro@schowek24.pl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hillwood Częstochowa Miasto,+48 690 000 225,https://www.hillwood.pl/,poland@hillwood.com,poland@hillwood.pl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KMS S.C. Magazyn/Warsztat,+48 605 147 127,https://kms.wroclaw.pl/,info@km-sc.pl,wyceny@kms.wroclaw.pl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wrocław Fashion Outlet,+48 71 881 05 71,https://www.wroclawfashionoutlet.com/?utm_source=google-maps&utm_medium=refferal-factory&utm_campaign=home-outlet,wfo.infopoint@viaoutlets.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dragler - magazyn,+48 693 717 787,http://dragler.pl/,info@dragler.pl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elektros Sp. z o.o. - Biuro Handlowe Wrocław - dystrybucja opraw i słupów oświetleniowych,+48 885 962 154,https://www.elektros.pl/,biuro@elektros.pl,elektros@elektros.pl,fotowoltaika@elektros.pl,krystian.habedank@elektros.pl,nowasol@elektros.pl,oferty@elektros.pl,produkcja@elektros.pl,wroclaw@elektros.pl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAN-MARK,+48 71 376 93 00,http://www.dan-mark.pl/,sekretariat@dan-mark.pl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASSMANN Distribution Sp. z o.o.,+48 71 326 71 40,http://www.assmann.pl/,office@assmann.pl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECE Logistics,,https://ecelogistics.pl/logistyka-kontraktowa-magazyny-b2b-we-wroclawiu/,biuro@ecelogistics.net,f.czarny@ecelogistics.pl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magazyn Tapipol,+48 71 359 57 34,http://www.tapipol.pl/,adres@email.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CargoNet Polska Sp. z o.o.,+48 502 406 787,http://www.cargonet.pl/,mail@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Optident Magazyn,+48 71 308 41 40,https://optident.pl/kontakt/,biuro@optident.pl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GO! Express & Logistics Wrocław Sp. z o. o.,+48 514 481 734,http://www.general-overnight.pl/,info@general-overnight.pl,warszawa@general-overnight.pl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schowek24 Gagarina - Magazyny Self Storage Wrocław,+48 518 793 880,https://schowek24.pl/lokalizacje/wroclaw/wroclaw-gagarina-n-park/?utm_source=Local&utm_medium=Organic&utm_campaign=Google-Places,biuro@schowek24.pl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stokado Self Storage - Mokronos Dolny,+48 666 030 701,https://stokado.pl/self-storage-mokronos-dolny/parkowa,filmowa@stokado.pl,info@stokado.pl,kaliny@stokado.pl,kasprzaka@stokado.pl,modlinska@stokado.pl,nowohucka@stokado.pl,parkowa@stokado.pl,sikorskiego@stokado.pl,sosnowiecka@stokado.pl,torunska@stokado.pl,warynskiego@stokado.pl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRODOMUS Sp. o.o. Sp. K.,+48 71 372 61 34,https://www.spedycjaprodomus.pl/,andrzej@prodomus.com.pl,biuro@prodomus.com.pl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schowek24 Przedmiejska - Magazyny Self Storage Wrocław,+48 518 793 880,https://schowek24.pl/lokalizacje/wroclaw/wroclaw-przedmiejska/?utm_source=Local&utm_medium=Organic&utm_campaign=Google-Places,biuro@schowek24.pl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7R Park Bydgoszcz I,+48 22 270 13 90,https://www.7rsa.pl/magazyny/7R-Park-Bydgoszcz-I,administrator.rodo@7rsa.pl,bartosz.kwasniewski@7rsa.pl,biuro@7rsa.pl,kamil.szablowski@7rsa.pl,marzena.taube@7rsa.pl,np.jan@poczta.pl,taube.marzena@7rsa.pl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fortress Logistics Park Bydgoszcz,+48 695 568 111,https://fortressfund.co.za/,butchere@fortressfund.co.za,morganh@fortressfund.co.za,oosthuizenm@fortressfund.co.za,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eurocash Dystrybucja,+48 81 461 27 40,https://dystrybucja.grupaeurocash.pl/,cok@eurocash.pl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P3 Bydgoszcz,,https://p3parks.com/,info.office@p3parks.com,info@p3parks.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLM - Centrum Logistyczne Mełgiewska,+48 81 710 02 20,http://clm.lublin.pl/,biuro@clm.lublin.pl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dziupla Self Storage - Boxy magazynowe Self Storage Lublin,+48 797 003 199,https://dziupla-magazyny.pl/,biuro@dziupla-magazyny.pl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stock Polska - Lubelskie Centrum Logistyczne (LCL),,http://stock-polska.pl/,stock@stockspirits.com,u003estock@stockspirits.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spektrum Sp. z o.o.,,https://www.spektrum-poland.pl/,a.okupny@spektrum-poland.pl,alex@spektrum-poland.pl,ksiegowosc@spektrum-poland.pl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Krajowa Grupa Spożywcza S.A. w Toruniu. Magazyn Lublin,+48 695 650 053,https://www.polski-cukier.pl/,sekretariat@kgssa.pl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fresh Logistics Polska - transport i magazynowanie żywności,+48 503 849 490,https://polska.raben-group.com/o-nas/grupa-raben-w-polsce/fresh-logistics-polska/?utm_source=Google&utm_medium=GMB+Fresh-R&utm_campaign=GMB+Fresh+Raben,759ec9b3154a0b4947ff9df6e3d9af3a@www.sentry.macopedia-dev.pl,Dariusz.deka@raben-group.com,artur.orlowski@raben-group.com,dariusz.deka@raben-group.com,freshlogistics@raben-group.com,karolina.kamrowska@raben-group.com,maciej.dzioban@raben-group.com,recepcjafl@raben-group.com,robert.kozak@raben-group.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCL Logistic – Magazyny Zielona Góra,+48 68 307 17 61,https://lcl-logistic.com/,offers@lcl-logistic.com,warehouse@lcl-logistic.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUROCOMMERCE | logistyka bez barier,+48 68 415 11 18,https://eurocommerce.pl/,kontakt@eurocommerce.pl,pomoc@eurocommerce.pl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F.H.U. Woga Sp. J Magazyn Babimost,+48 512 168 450,http://www.woga.pl/,biuro2@woga.pl,darek@woga.pl,dispo1@woga.pl,dispo2@woga.pl,dispo3@woga.pl,dispo5@woga.pl,dispo@woga.pl,karol@woga.pl,kuba@woga.pl,luk@woga.pl,spedytor11@woga.pl,spedytor13@woga.pl,spedytor1@woga.pl,spedytor2@woga.pl,spedytor3@woga.pl,spedytor4@woga.pl,spedytor6@woga.pl,spedytor7@woga.pl,spedytor8@woga.pl,spedytor9@woga.pl,spedytor@woga.pl,transportabteilung@woga.pl,verkauf2@woga.pl,verkauf@woga.pl,verkaufwoga@woga.pl,woga@woga.pl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTPark Iłowa,+48 696 870 000,https://www.ctp.eu/ctpark-ilowa/,marketing.pl@ctp.eu,sandra.winiarska@ctp.eu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3LP SA Słubice,+48 71 301 47 22,http://www.3lp.eu/,jkowalski@gmail.com,kontakt@3lp.eu,oferty@3lp.eu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUROCOMMERCE | magazyn Nowy Kisielin,+48 68 415 11 18,https://eurocommerce.pl/,kontakt@eurocommerce.pl,pomoc@eurocommerce.pl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7R Park Sulechów,+48 22 270 13 90,https://www.7rsa.pl/magazyny/7R-Park-Sulechow,administrator.rodo@7rsa.pl,bartosz.kwasniewski@7rsa.pl,biuro@7rsa.pl,np.jan@poczta.pl,szymon.wiecek@7rsa.pl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUAL SYSTEM MAGAZYN,+48 797 404 953,http://www.dualsystem.com.pl/,dual@dualsystem.com.pl,zarzad@klubmymba.pl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hillwood Gubin,+48 690 000 225,https://www.hillwood.pl/nieruchomosci/hillwood-gubin/,poland@hillwood.com,poland@hillwood.pl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTPark Sulechów,+48 696 870 000,https://www.ctp.eu/ctpark-sulechow/,marketing.pl@ctp.eu,sandra.winiarska@ctp.eu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hillwood Łódź Górna,+48 690 000 225,https://www.hillwood.pl/,poland@hillwood.com,poland@hillwood.pl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prologis Park Łódź,+48 22 218 36 00,https://www.prologislodz.com/,marketing-eu@prologis.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
